Name,Location,Kilometers_Driven,Mileage,Engine,Power,Seats,car_age,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,estimated_new_price
Honda Civic 2010-2013 1.8 S MT Inspire,Bangalore,40000,15.5,1799.0,132.0,5.0,13,False,False,True,True,False,True,False,5000
Ford Ikon 1.3 Flair,Pune,47000,13.8,1299.0,70.0,5.0,19,False,False,True,True,False,True,False,5000
Maruti Alto LX,Pune,93500,19.7,796.0,46.3,5.0,18,False,False,True,True,False,True,False,5000
Honda Jazz 1.5 V i DTEC,Pune,52000,27.3,1498.0,98.6,5.0,9,True,False,False,True,False,False,False,5000
Skoda Rapid 1.5 TDI AT Ambition,Delhi,55429,21.66,1498.0,103.52,5.0,9,True,False,False,False,False,True,False,5000
Hyundai i20 1.2 Sportz,Mumbai,133000,17.0,1197.0,80.0,5.0,13,False,False,True,True,False,True,False,5000
Toyota Etios Cross 1.4L VD,Chennai,70000,23.59,1364.0,67.06,5.0,10,True,False,False,True,False,True,False,5000
Volkswagen Polo GT TDI,Pune,68000,15.11,1598.0,103.6,5.0,10,True,False,False,True,False,False,False,5000
Hyundai i10 Era 1.1 iTech SE,Pune,71000,19.81,1086.0,68.05,5.0,14,False,False,True,True,False,True,False,5000
Mitsubishi Pajero 2.8 SFX,Chennai,121000,10.5,2835.0,107.2,6.0,12,True,False,False,True,False,False,False,5000
Maruti Swift Dzire Tour LDI,Kolkata,107000,23.4,1248.0,74.0,5.0,9,True,False,False,True,False,False,False,5000
Maruti Swift Dzire VXI,Chennai,51000,19.1,1197.0,85.8,5.0,9,False,False,True,True,False,False,False,5000
Skoda Rapid 1.6 MPI AT Style,Mumbai,13500,14.84,1598.0,103.52,5.0,7,False,False,True,False,False,False,False,5000
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Bangalore,13000,15.29,1591.0,121.3,5.0,8,False,False,True,True,False,False,False,5000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Pune,81000,12.8,2494.0,102.0,8.0,14,True,False,False,True,False,False,False,5000
BMW 5 Series 520d Luxury Line,Mumbai,66889,22.48,1995.0,190.0,5.0,12,True,False,False,False,False,False,False,5000
Maruti Baleno Alpha 1.3,Ahmedabad,32000,27.39,1248.0,74.0,5.0,6,True,False,False,True,False,False,False,5000
Audi A4 2.0 TDI 177 Bhp Technology Edition,Pune,87001,17.11,1968.0,174.33,5.0,11,True,False,False,False,False,False,False,5000
Audi A4 2.0 TDI Multitronic,Hyderabad,55000,16.55,1968.0,140.0,5.0,11,True,False,False,False,False,True,False,5000
Skoda Rapid 1.6 MPI Ambition,Jaipur,4000,15.41,1598.0,103.52,5.0,6,False,False,True,True,False,False,False,5000
Maruti Ertiga SHVS VDI,Kochi,27778,24.52,1248.0,88.5,7.0,7,True,False,False,True,False,False,False,5000
Maruti Ciaz 1.4 Zeta,Mumbai,5000,20.73,1373.0,91.1,5.0,7,False,False,True,True,False,False,False,5000
Maruti Ciaz ZXi,Pune,72000,20.73,1373.0,91.1,5.0,10,False,False,True,True,False,False,False,5000
Mercedes-Benz A Class A200 CDI Sport,Chennai,21000,20.0,2143.0,136.0,5.0,9,True,False,False,False,False,False,False,5000
Toyota Innova 2.5 ZX Diesel 7 Seater,Kochi,59299,12.99,2494.0,100.6,7.0,9,True,False,False,True,False,False,False,5000
BMW 3 Series 320d Prestige,Ahmedabad,75000,18.88,1995.0,184.0,5.0,10,True,False,False,False,False,False,False,5000
Maruti Alto 800 2016-2019 LXI,Kochi,3413,24.7,796.0,47.3,5.0,5,False,False,True,True,False,False,False,5000
Ford Ecosport 1.5 DV5 MT Titanium,Mumbai,62000,22.7,1498.0,89.84,5.0,10,True,False,False,True,False,False,False,5000
Ford Endeavour 3.0L 4X4 AT,Mumbai,105001,11.4,2953.0,153.86,7.0,14,True,False,False,False,False,False,False,5000
Audi Q5 2.0 TDI,Mumbai,89000,14.16,1968.0,174.3,5.0,11,True,False,False,False,False,False,False,5000
Hyundai Verna 1.6 SX VTVT,Mumbai,21000,17.01,1591.0,121.3,5.0,10,False,False,True,True,False,False,False,5000
Mahindra XUV500 W8 4WD,Kolkata,50000,15.1,2179.0,140.0,7.0,10,True,False,False,True,False,False,False,5000
Maruti Vitara Brezza ZDi,Hyderabad,70687,24.3,1248.0,88.5,5.0,8,True,False,False,True,False,False,False,5000
Toyota Etios Liva 1.4 VXD,Pune,104350,23.59,1364.0,67.04,5.0,8,True,False,False,True,False,False,False,5000
Tata Indigo CS LX (TDI) BS III,Chennai,150000,19.09,1396.0,69.0,5.0,13,True,False,False,True,False,True,False,5000
Honda City ZX GXi,Delhi,81000,17.7,1497.0,78.0,5.0,16,False,False,True,True,False,False,False,5000
Toyota Corolla Altis G,Kolkata,89000,14.53,1798.0,138.1,5.0,16,False,False,True,True,False,True,False,5000
Hyundai Grand i10 Asta,Kochi,35223,18.9,1197.0,82.0,5.0,7,False,False,True,True,False,False,False,5000
Hyundai i20 Sportz 1.2,Kolkata,48000,18.6,1197.0,81.83,5.0,9,False,False,True,True,False,False,False,5000
Volkswagen Polo 1.5 TDI Comfortline,Delhi,60000,20.14,1498.0,88.8,5.0,9,True,False,False,True,False,False,False,5000
Maruti Celerio X VXI Option,Mumbai,7000,23.0,998.0,67.0,5.0,6,False,False,True,True,False,False,False,5000
Chevrolet Sail Hatchback 1.2,Kochi,47572,18.2,1199.0,82.5,5.0,9,False,False,True,True,False,False,False,5000
Mahindra Scorpio VLX Special Edition BS-IV,Delhi,72727,15.4,2179.0,120.0,8.0,14,True,False,False,True,False,True,False,5000
Volkswagen Ameo 1.5 TDI Comfortline,Mumbai,4708,21.66,1498.0,108.62,5.0,6,True,False,False,True,False,False,False,5000
Maruti Wagon R LXI,Delhi,55000,18.9,998.0,67.1,5.0,15,False,False,True,True,False,True,False,5000
Honda Brio S Option MT,Coimbatore,44198,18.4,1198.0,86.8,5.0,11,False,False,True,True,False,True,False,5000
Maruti Ertiga VXI,Ahmedabad,35000,16.02,1373.0,93.7,7.0,9,False,False,True,True,False,False,False,5000
Hyundai Santro Xing GL,Ahmedabad,63831,0.0,1086.0,62.0,5.0,11,False,False,True,True,False,False,False,5000
Ford Figo Aspire 1.2 Ti-VCT Titanium,Delhi,17540,18.16,1196.0,86.8,5.0,7,False,False,True,True,False,False,False,5000
Tata Tiago AMT 1.2 Revotron XTA,Mumbai,14000,23.84,1199.0,84.0,5.0,7,False,False,True,False,False,False,False,5000
Chevrolet Beat LT,Chennai,75422,18.6,1199.0,79.4,5.0,14,False,False,True,True,False,True,False,5000
Nissan Micra Diesel XV,Hyderabad,67000,23.08,1461.0,63.1,5.0,13,True,False,False,True,False,True,False,5000
Toyota Innova 2.5 GX (Diesel) 8 Seater,Delhi,79999,12.99,2494.0,100.0,8.0,11,True,False,False,True,False,False,False,5000
Hyundai Xcent 1.2 VTVT E,Kolkata,5044,20.14,1197.0,81.86,5.0,7,False,False,True,True,False,False,False,5000
Maruti Ciaz VXi,Kolkata,31601,20.73,1373.0,91.1,5.0,8,False,False,True,True,False,False,False,5000
BMW 5 Series 2013-2017 520d Luxury Line,Delhi,70000,18.12,1995.0,190.0,5.0,10,True,False,False,False,False,False,False,5000
Toyota Camry Hybrid 2.5,Ahmedabad,16000,19.16,2487.0,175.67,5.0,8,False,False,True,False,False,False,False,5000
Toyota Corolla Altis D-4D G,Mumbai,31700,21.43,1364.0,87.2,5.0,8,True,False,False,True,False,False,False,5000
Hyundai Verna 1.6 SX CRDi (O),Kochi,76969,22.32,1582.0,126.32,5.0,10,True,False,False,True,False,False,False,5000
Volkswagen Vento 1.5 TDI Highline AT,Kolkata,37000,21.21,1498.0,103.2,5.0,9,True,False,False,False,False,False,False,5000
Nissan Teana XL,Mumbai,23000,11.07,2496.0,179.5,5.0,10,False,False,True,False,False,False,False,5000
Hyundai i20 1.2 Sportz Option,Coimbatore,59098,17.0,1197.0,80.0,5.0,10,False,False,True,True,False,True,False,5000
Tata Manza Club Class Safire90 LX,Kochi,142299,13.07,1368.0,88.76,5.0,14,False,False,True,True,False,False,False,5000
Ford Figo Diesel ZXI,Jaipur,75731,20.0,1399.0,68.0,5.0,13,True,False,False,True,False,False,False,5000
Hyundai i20 Asta 1.2,Coimbatore,69627,18.6,1197.0,81.83,5.0,7,False,False,True,True,False,False,False,5000
Ford Fiesta Classic 1.6 SXI Duratec,Mumbai,49000,15.3,1596.0,99.6,5.0,13,False,False,True,True,False,False,False,5000
Mercedes-Benz B Class B180 Sports,Mumbai,25700,11.9,1595.0,120.7,5.0,9,False,False,True,False,False,False,False,5000
Hyundai i20 Magna,Delhi,80800,18.5,1197.0,82.85,5.0,12,False,False,True,True,False,False,False,5000
Maruti Swift Dzire VDI,Hyderabad,110896,23.4,1248.0,74.0,5.0,11,True,False,False,True,False,False,False,5000
Hyundai Santro Xing GLS,Kolkata,62261,17.92,1086.0,62.1,5.0,15,False,False,True,True,False,False,False,5000
Maruti Baleno Alpha,Kochi,27610,21.4,1197.0,83.1,5.0,7,False,False,True,True,False,False,False,5000
Honda Accord 2.4 Elegance M/T,Kochi,89219,10.2,2354.0,180.0,5.0,13,False,False,True,True,False,False,False,5000
Nissan Micra XL CVT,Hyderabad,6700,19.34,1198.0,75.94,5.0,6,False,False,True,False,False,False,False,5000
Maruti Zen Estilo LXI BS IV,Pune,51599,19.0,998.0,67.1,5.0,13,False,False,True,True,False,False,False,5000
Hyundai Elantra CRDi SX,Kolkata,37489,22.7,1582.0,126.24,5.0,11,True,False,False,True,False,False,False,5000
Tata Indica V2 DiCOR DLG BS-III,Mumbai,98000,17.5,1396.0,70.0,5.0,8,True,False,False,True,False,False,False,5000
Tata Nano Lx,Hyderabad,25183,26.0,624.0,35.0,4.0,12,False,False,True,True,False,False,False,5000
BMW 5 Series 2013-2017 520d Luxury Line,Bangalore,52100,18.12,1995.0,190.0,5.0,9,True,False,False,False,False,True,False,5000
Honda Amaze S i-Dtech,Pune,60000,25.8,1498.0,98.6,5.0,10,True,False,False,True,False,False,False,5000
Volkswagen Polo Diesel Highline 1.2L,Kolkata,51000,22.07,1199.0,73.9,5.0,11,True,False,False,True,False,False,False,5000
Tata Indica Vista Quadrajet LX,Mumbai,70000,22.3,1248.0,74.0,5.0,12,True,False,False,True,False,False,False,5000
Audi Q3 30 TDI S Edition,Jaipur,95000,17.32,1968.0,138.13,5.0,9,True,False,False,True,False,False,False,5000
Honda City i DTEC SV,Jaipur,66346,26.0,1498.0,98.6,5.0,10,True,False,False,True,False,False,False,5000
Honda Amaze SX i-DTEC,Hyderabad,69150,25.8,1498.0,98.6,5.0,9,True,False,False,True,False,False,False,5000
Hyundai i20 Asta Option 1.2,Bangalore,31000,18.6,1197.0,81.83,5.0,8,False,False,True,True,False,False,False,5000
BMW 5 Series 2013-2017 520d Luxury Line,Bangalore,49000,18.12,1995.0,190.0,5.0,11,True,False,False,False,False,True,False,5000
Honda Brio S MT,Kochi,63058,19.4,1198.0,86.8,5.0,10,False,False,True,True,False,False,False,5000
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Delhi,22000,19.71,2143.0,201.15,5.0,8,True,False,False,False,False,False,False,5000
Volkswagen Polo 1.2 MPI Highline,Coimbatore,73026,16.47,1198.0,74.0,5.0,9,False,False,True,True,False,False,False,5000
Hyundai i10 Magna AT,Coimbatore,21762,19.2,1197.0,80.0,5.0,13,False,False,True,False,False,True,False,5000
Hyundai Verna 1.6 SX VTVT,Coimbatore,29738,17.01,1591.0,121.3,5.0,6,False,False,True,True,False,False,False,5000
Hyundai i20 1.2 Magna Executive,Mumbai,16053,18.6,1197.0,81.83,5.0,6,False,False,True,True,False,False,False,5000
BMW 5 Series 525d Sedan,Kochi,61665,16.73,2993.0,218.0,5.0,12,True,False,False,False,False,False,False,5000
Maruti Swift Dzire Vdi BSIV,Delhi,51000,19.3,1248.0,73.9,5.0,9,True,False,False,True,False,False,False,5000
Honda BRV i-DTEC V MT,Bangalore,34820,21.9,1498.0,98.6,7.0,8,True,False,False,True,False,False,False,5000
Maruti Ertiga VXI,Mumbai,12000,17.5,1373.0,91.1,7.0,6,False,False,True,True,False,False,False,5000
Maruti Swift Dzire VDI Optional,Hyderabad,32287,26.59,1248.0,74.0,5.0,7,True,False,False,True,False,False,False,5000
BMW X3 xDrive20d,Coimbatore,74485,16.09,1995.0,184.0,5.0,9,True,False,False,False,False,False,False,5000
Chevrolet Beat Diesel LS,Chennai,63000,25.44,936.0,57.6,5.0,13,True,False,False,True,False,False,False,5000
Audi Q3 30 TDI Premium FWD,Coimbatore,53190,18.51,1968.0,147.51,5.0,6,True,False,False,False,False,False,False,5000
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,26900,12.0,2987.0,224.0,7.0,8,True,False,False,False,False,False,False,5000
BMW 3 Series GT 320d Sport Line,Hyderabad,40000,19.59,1995.0,184.0,5.0,9,True,False,False,False,False,False,False,5000
Hyundai Grand i10 Asta Option,Coimbatore,40587,18.9,1197.0,82.0,5.0,8,False,False,True,True,False,False,False,5000
Hyundai Grand i10 Asta,Hyderabad,27000,18.9,1197.0,82.0,5.0,9,False,False,True,True,False,False,False,5000
Toyota Etios Liva VD,Coimbatore,29108,23.59,1364.0,67.04,5.0,8,True,False,False,True,False,False,False,5000
Datsun GO T Petrol,Mumbai,18000,19.83,1198.0,67.0,5.0,9,False,False,True,True,False,False,False,5000
Maruti Ignis 1.2 Alpha,Kolkata,10500,20.89,1197.0,81.8,5.0,7,False,False,True,True,False,False,False,5000
Maruti A-Star Zxi,Chennai,60000,19.0,998.0,66.1,5.0,15,False,False,True,True,False,False,True,5000
Honda Civic 2010-2013 1.8 V AT Sunroof,Pune,61000,13.9,1799.0,130.3,5.0,13,False,False,True,False,False,False,True,5000
Maruti Alto 800 LXI,Kolkata,5000,22.74,796.0,47.3,5.0,7,False,False,True,True,False,False,False,5000
Jaguar XE 2.0L Diesel Prestige,Pune,24001,13.6,1999.0,177.0,5.0,6,True,False,False,False,False,False,False,5000
Hyundai i20 1.4 CRDi Sportz,Hyderabad,76000,23.0,1396.0,90.0,5.0,13,True,False,False,True,False,False,False,5000
Ford EcoSport 1.0 Ecoboost Titanium Plus,Hyderabad,56000,18.88,999.0,123.24,5.0,10,False,False,True,True,False,False,False,5000
Mahindra KUV 100 mFALCON G80 K4 5str,Mumbai,30000,18.15,1198.0,82.0,5.0,8,False,False,True,True,False,False,False,5000
Maruti Vitara Brezza VDi Option,Hyderabad,44263,24.3,1248.0,88.5,5.0,7,True,False,False,True,False,False,False,5000
Ford Figo Diesel ZXI,Hyderabad,97899,20.0,1399.0,68.0,5.0,13,True,False,False,True,False,False,False,5000
Volkswagen Vento Diesel Highline,Jaipur,157301,20.54,1598.0,103.6,5.0,13,True,False,False,True,False,True,False,5000
Fiat Avventura FIRE Dynamic,Pune,35000,14.4,1368.0,88.8,5.0,8,False,False,True,True,False,True,False,5000
Honda Civic 2006-2010 1.8 V MT,Pune,106000,13.5,1799.0,130.0,5.0,15,False,False,True,True,False,False,False,5000
Honda CR-V Diesel,Kolkata,121590,18.0,2000.0,148.0,5.0,8,True,False,False,True,False,False,False,5000
Maruti Wagon R LXI,Delhi,64692,22.5,998.0,67.04,5.0,12,False,False,True,True,False,False,False,5000
Hyundai i10 Magna,Mumbai,41000,20.36,1197.0,78.9,5.0,14,False,False,True,True,False,False,False,5000
Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,25143,22.0,1498.0,108.495,5.0,6,True,False,False,False,False,False,False,5000
Volkswagen Vento Diesel Highline,Ahmedabad,51000,20.54,1598.0,103.6,5.0,13,True,False,False,True,False,False,False,5000
Hyundai Accent CRDi,Pune,109000,13.1,1493.0,82.0,5.0,19,True,False,False,True,False,True,False,5000
Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,69062,22.7,1498.0,89.84,5.0,9,True,False,False,True,False,False,False,5000
Jaguar XF 2.2 Litre Luxury,Kochi,34386,16.36,2179.0,187.7,5.0,9,True,False,False,False,False,False,False,5000
Maruti Baleno Alpha 1.2,Delhi,20185,21.4,1197.0,83.1,5.0,8,False,False,True,True,False,False,False,5000
Hyundai Grand i10 CRDi Magna,Hyderabad,41585,24.0,1120.0,70.0,5.0,11,True,False,False,True,False,False,False,5000
Hyundai EON Era,Kolkata,24000,21.1,814.0,55.2,5.0,13,False,False,True,True,False,False,False,5000
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Bangalore,40000,15.0,2143.0,204.0,5.0,8,True,False,False,False,False,False,False,5000
Mercedes-Benz M-Class ML 350 4Matic,Bangalore,37000,0.0,2987.0,165.0,5.0,12,True,False,False,False,False,False,False,5000
Ford EcoSport 1.5 Diesel Titanium,Chennai,67630,23.0,1498.0,98.96,5.0,9,True,False,False,True,False,False,False,5000
Maruti Celerio VXI AT,Coimbatore,24192,23.1,998.0,67.04,5.0,8,False,False,True,False,False,False,False,5000
Maruti Vitara Brezza VDi Option,Hyderabad,32248,24.3,1248.0,88.5,5.0,7,True,False,False,True,False,False,False,5000
Mahindra Xylo E9,Mumbai,28000,13.0,2179.0,120.0,8.0,11,True,False,False,True,False,False,False,5000
Hyundai Creta 1.6 SX Automatic,Kochi,36471,14.8,1591.0,121.3,5.0,6,False,False,True,False,False,False,False,5000
Honda Mobilio V i VTEC,Kochi,69689,17.3,1497.0,117.3,7.0,9,False,False,True,True,False,False,False,5000
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Kochi,69095,11.3,2987.0,254.8,7.0,9,True,False,False,False,False,False,False,5000
Hyundai i20 Magna,Kolkata,46000,18.5,1197.0,80.0,5.0,14,False,False,True,True,False,False,False,5000
Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,65000,10.13,3498.0,364.9,5.0,16,False,False,True,False,False,False,True,5000
Volkswagen Vento 1.5 TDI Highline,Chennai,119258,20.64,1498.0,108.5,5.0,9,True,False,False,True,False,False,False,5000
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,38339,13.0,2143.0,201.1,5.0,9,True,False,False,False,False,False,False,5000
Toyota Etios V,Mumbai,59503,16.78,1496.0,88.73,5.0,12,False,False,True,True,False,False,False,5000
Tata Indica Vista Aqua TDI BSIII,Chennai,93600,17.0,1405.0,71.0,5.0,14,True,False,False,True,False,False,True,5000
Volkswagen Passat 1.8 TSI MT,Coimbatore,58865,14.3,1798.0,160.0,5.0,13,False,False,True,True,False,False,False,5000
Maruti Alto LXi,Coimbatore,64631,19.7,796.0,46.3,5.0,12,False,False,True,True,False,False,False,5000
Skoda Laura 1.9 TDI MT Elegance,Pune,124298,17.0,1896.0,105.0,5.0,17,True,False,False,True,False,True,False,5000
Maruti Wagon R LX,Jaipur,50000,18.9,998.0,67.1,5.0,21,False,False,True,True,False,True,False,5000
Nissan Sunny 2011-2014 Diesel XV,Kolkata,40001,21.64,1461.0,84.8,5.0,11,True,False,False,True,False,False,False,5000
Honda Brio VX,Bangalore,62659,19.4,1198.0,86.8,5.0,9,False,False,True,True,False,False,False,5000
Hyundai i10 Sportz,Kochi,68138,20.36,1197.0,78.9,5.0,10,False,False,True,True,False,False,False,5000
Mercedes-Benz M-Class ML 250 CDI,Mumbai,34000,15.26,2143.0,203.2,5.0,10,True,False,False,False,False,False,False,5000
Volkswagen Vento Petrol Comfortline,Mumbai,67000,15.04,1598.0,103.6,5.0,11,False,False,True,True,False,False,False,5000
Honda Mobilio S i DTEC,Delhi,64141,24.2,1498.0,98.6,7.0,9,True,False,False,True,False,False,False,5000
Maruti Alto LXI,Kolkata,1000,24.7,796.0,47.3,5.0,5,False,False,True,True,False,False,False,5000
Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,42000,13.0,2143.0,201.1,5.0,11,True,False,False,False,False,False,False,5000
Honda City ZX VTEC Plus,Coimbatore,76677,16.9,1497.0,100.0,5.0,15,False,False,True,True,False,False,True,5000
Audi A8 L 3.0 TDI quattro,Kochi,66848,11.8,2967.0,246.7,5.0,11,True,False,False,False,False,False,False,5000
Hyundai Santro Xing GL,Ahmedabad,78000,0.0,1086.0,62.0,5.0,17,False,False,True,True,False,False,False,5000
Maruti Swift Dzire VDi,Delhi,111166,19.3,1248.0,73.9,5.0,14,True,False,False,True,False,False,False,5000
Hyundai Verna CRDi ABS,Chennai,76000,18.1,1493.0,110.0,5.0,17,True,False,False,True,False,False,False,5000
Audi Q5 2008-2012 2.0 TDI,Coimbatore,94049,12.8,1968.0,167.6,5.0,12,True,False,False,False,False,False,False,5000
BMW X1 sDrive20d,Ahmedabad,47000,17.05,1995.0,184.0,5.0,10,True,False,False,False,False,False,False,5000
Tata Nano XT,Delhi,20047,23.9,624.0,37.48,4.0,9,False,False,True,True,False,False,False,5000
BMW 7 Series 730Ld DPE Signature,Chennai,16000,16.77,2993.0,261.49,5.0,7,True,False,False,False,False,False,False,5000
Honda Brio 1.2 S MT,Chennai,27000,18.5,1198.0,86.8,5.0,12,False,False,True,True,False,False,False,5000
Maruti Alto 800 2016-2019 LXI,Mumbai,1001,24.7,796.0,47.3,5.0,6,False,False,True,True,False,False,False,5000
Hyundai i20 1.2 Sportz,Kolkata,89312,17.0,1197.0,80.0,5.0,14,False,False,True,True,False,False,False,5000
Renault Duster 110PS Diesel RxZ,Pune,93000,19.01,1461.0,108.45,5.0,12,True,False,False,True,False,True,False,5000
Maruti Swift Dzire VDI,Kolkata,48000,23.4,1248.0,74.0,5.0,11,True,False,False,True,False,False,False,5000
Maruti Dzire ZDI,Coimbatore,64917,28.4,1248.0,73.75,5.0,10,True,False,False,True,False,False,False,5000
Honda City i VTEC V,Jaipur,19678,17.8,1497.0,117.3,5.0,7,False,False,True,True,False,False,False,5000
Jaguar XF Diesel,Kolkata,12000,14.74,2993.0,270.9,5.0,10,True,False,False,False,False,False,False,5000
BMW 3 Series 320d Luxury Line,Delhi,41309,18.88,1995.0,184.0,5.0,10,True,False,False,False,False,False,False,5000
BMW 3 Series Luxury Line,Coimbatore,25038,21.76,1995.0,190.0,5.0,6,True,False,False,False,False,False,False,5000
Chevrolet Beat Diesel LS,Coimbatore,68673,25.44,936.0,56.3,5.0,8,True,False,False,True,False,False,False,5000
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,26343,19.27,2143.0,167.62,5.0,6,True,False,False,False,False,False,False,5000
Maruti Omni E 8 Str STD,Bangalore,81245,16.8,796.0,34.2,8.0,19,False,False,True,True,True,False,False,5000
Nissan Micra Diesel XV,Delhi,62100,23.08,1461.0,63.1,5.0,12,True,False,False,True,False,False,False,5000
Volkswagen Vento Petrol Highline,Pune,104000,15.04,1598.0,103.6,5.0,11,False,False,True,True,False,False,False,5000
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,114831,17.68,1968.0,174.33,5.0,10,True,False,False,False,False,False,False,5000
Fiat Linea Dynamic,Mumbai,46000,14.6,1368.0,88.7,5.0,14,False,False,True,True,False,False,False,5000
Hyundai Verna 1.6 SX,Jaipur,80000,22.32,1582.0,126.32,5.0,10,True,False,False,True,False,False,False,5000
Hyundai i20 Active 1.2 S,Kolkata,9201,17.19,1197.0,81.86,5.0,8,False,False,True,True,False,False,False,5000
Honda Brio V MT,Kochi,55311,19.4,1198.0,86.8,5.0,11,False,False,True,True,False,False,False,5000
Honda Mobilio RS Option i DTEC,Coimbatore,58217,24.5,1498.0,98.6,7.0,9,True,False,False,True,False,False,False,5000
Mitsubishi Pajero Sport 4X4,Delhi,70655,13.5,2477.0,175.56,7.0,11,True,False,False,True,False,False,False,5000
Hyundai i10 Magna,Kolkata,46000,20.36,1197.0,78.9,5.0,9,False,False,True,True,False,False,False,5000
Tata Manza Club Class Quadrajet90 LS,Pune,125000,21.02,1248.0,88.8,5.0,10,True,False,False,True,False,False,False,5000
Renault Duster Adventure Edition,Mumbai,59000,19.01,1461.0,108.45,5.0,10,True,False,False,True,False,False,False,5000
Hyundai Verna CRDi 1.6 AT SX Plus,Mumbai,66000,22.0,1582.0,126.2,5.0,11,True,False,False,False,False,True,False,5000
Maruti Ritz VDi,Hyderabad,82242,21.1,1248.0,73.9,5.0,15,True,False,False,True,False,False,False,5000
Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,107281,12.8,2494.0,102.0,8.0,12,True,False,False,True,False,False,False,5000
Tata Sumo EX 10/7 Str BSII,Chennai,196000,12.2,1948.0,68.0,10.0,9,True,False,False,True,False,True,False,5000
Audi Q3 35 TDI Quattro Premium Plus,Ahmedabad,75000,15.17,1968.0,181.0,5.0,9,True,False,False,False,False,False,False,5000
Fiat Grande Punto 1.2 Emotion,Kolkata,11791,16.2,1172.0,68.0,5.0,13,False,False,True,True,False,False,False,5000
