name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
39,2018.0,3790000.0,29500.0,1,0,0,0,316,64,137,348,5.0
45,2017.0,2150000.0,27000.0,1,0,0,0,393,121,322,441,5.41671936259011
51,2019.0,5800000.0,7500.0,1,0,0,0,153,64,141,348,5.0
1630,2018.0,1864999.0,50000.0,3,0,0,0,93,53,125,256,5.0
1449,2016.0,2700000.0,35000.0,1,0,0,0,103,69,152,375,5.0
810,2019.0,1750000.0,19000.0,3,0,0,0,73,28,77,265,5.0
419,2017.0,795000.0,41000.0,3,0,0,0,188,35,43,115,5.0
1873,2013.0,625000.0,39000.0,3,0,0,0,83,53,71,150,5.0
2055,2018.0,3400000.0,22000.0,1,0,0,0,188,60,141,345,5.0
25,2015.0,2650000.0,53000.0,1,0,0,0,33,101,158,384,7.0
1168,2015.0,535000.0,40000.0,1,0,1,0,372,13,289,193,5.0
1474,2017.0,5850000.0,47000.0,1,0,0,0,62,103,167,373,5.0
40,2010.0,975000.0,72200.0,3,0,0,2,6,87,90,254,5.0
516,2016.0,805000.0,49900.0,3,0,1,0,139,52,82,156,5.0
788,2017.0,2625000.0,9000.0,1,0,0,0,65,67,124,362,5.0
1783,2018.0,811000.0,11000.0,3,0,1,0,159,11,27,143,5.0
2047,2011.0,375000.0,49000.0,3,1,1,0,104,46,16,129,5.0
517,2012.0,550000.0,95000.0,3,1,1,0,139,52,82,156,5.0
1614,2016.0,645000.0,11000.0,3,0,0,0,84,46,14,129,5.0
1443,2018.0,2550000.0,18000.0,3,0,0,0,104,62,132,290,5.0
1205,2014.0,599000.0,46100.0,3,0,1,0,132,21,304,85,7.0
1467,2017.0,2700000.0,16000.0,3,0,0,0,95,62,131,289,5.0
391,2017.0,875000.0,18000.0,3,0,0,0,119,35,38,118,5.0
1924,2019.0,894999.0,9654.0,3,0,0,0,229,10,261,41,5.0
1098,2011.0,175000.0,11000.0,3,0,1,0,345,119,222,424,5.0
1347,2012.0,340000.0,24300.0,3,0,1,0,287,10,261,41,5.0
1974,2016.0,1525000.0,42163.0,1,0,0,2,17,96,118,328,7.0
1791,2018.0,1025000.0,8000.0,1,0,0,0,294,35,27,278,5.0
30,2016.0,2150000.0,30000.0,1,0,0,0,319,64,141,348,5.0
1867,2016.0,1900000.0,41000.0,3,0,0,0,219,85,96,209,5.0
37,2016.0,2900000.0,12000.0,1,0,0,0,191,64,141,348,5.0
1869,2009.0,450000.0,71000.0,3,0,0,0,35,79,106,230,5.0
1190,2016.0,850000.0,20000.0,3,1,1,0,175,21,298,85,7.0
2057,2017.0,10000000.0,30000.0,3,1,0,0,390,60,178,399,4.0
2043,2011.0,300000.0,100000.0,1,1,1,2,260,46,16,260,5.0
276,2018.0,575000.0,9500.0,3,1,1,0,193,9,285,34,5.0
289,2011.0,160000.0,120000.0,1,1,1,0,244,25,225,139,5.0
1353,2015.0,515000.0,36600.0,3,1,1,0,254,10,261,41,5.0
1379,2015.0,390000.0,50000.0,3,1,0,2,258,119,220,424,5.0
772,2016.0,550000.0,14000.0,3,1,1,2,204,10,262,48,5.0
1068,1999.0,40000.0,40000.0,3,1,1,2,136,112,172,388,4.0
1247,2010.0,220000.0,120000.0,1,1,1,0,281,13,241,43,5.0
561,2015.0,425000.0,70000.0,3,1,1,0,210,10,264,50,5.0
1987,2019.0,480000.0,13000.0,3,1,1,0,226,120,248,428,5.0
566,2014.0,400000.0,60000.0,3,1,1,2,210,10,264,50,5.0
1310,2014.0,487000.0,35000.0,3,1,1,0,217,10,280,50,5.0
687,2016.0,386000.0,44000.0,3,1,1,2,217,10,264,50,5.0
374,2005.0,100000.0,120000.0,3,1,1,2,50,32,2,78,5.0
1880,2010.0,300000.0,60000.0,1,1,1,0,292,19,286,201,5.0
123,2000.0,100000.0,60000.0,3,1,1,0,202,112,186,403,5.0
1919,2014.0,1750000.0,30000.0,1,1,1,2,50,102,111,318,7.0
890,2016.0,450000.0,15000.0,3,1,1,2,192,11,264,54,6.0
1858,2017.0,490000.0,90000.0,1,1,1,0,326,13,244,174,5.0
378,2009.0,345000.0,47000.0,3,1,1,2,159,35,44,116,5.0
1435,2005.0,85000.0,90000.0,3,1,1,0,169,117,202,411,5.0
1409,2010.0,215000.0,120600.0,3,1,1,2,210,119,224,424,5.0
666,2010.0,320000.0,100000.0,3,1,1,4,137,47,10,102,5.0
1310,2016.0,459999.0,60000.0,3,1,1,2,270,10,272,55,5.0
538,2005.0,65000.0,86000.0,3,1,1,0,113,17,269,53,5.0
529,2020.0,720000.0,5000.0,3,1,1,0,204,10,263,58,5.0
1151,2017.0,800000.0,37000.0,1,1,1,0,383,13,289,193,5.0
1845,2019.0,520000.0,14000.0,3,1,1,0,249,12,276,49,5.0
1198,2015.0,580000.0,70000.0,1,1,1,0,268,13,293,193,7.0
1893,2012.0,235000.0,120000.0,1,1,1,0,393,121,322,441,5.41671936259011
409,2015.0,600000.0,50000.0,3,1,1,0,171,35,42,115,5.0
364,2014.0,290000.0,60000.0,3,1,1,2,225,11,285,16,5.0
1394,2016.0,360000.0,50000.0,0,1,1,0,375,119,198,408,5.0
1310,2017.0,550000.0,50000.0,3,1,1,0,270,10,272,55,5.0
778,2013.0,375000.0,70000.0,3,1,1,0,202,10,267,37,5.0
1235,2003.0,40000.0,90000.0,3,1,1,2,393,121,322,441,5.41671936259011
1379,2018.0,420000.0,35000.0,3,1,0,0,258,119,220,424,5.0
1311,2017.0,550000.0,20000.0,3,1,1,0,287,10,261,41,5.0
1081,2018.0,270000.0,20000.0,3,1,1,0,354,112,182,400,5.0
1292,2018.0,700000.0,7800.0,3,1,0,0,307,10,261,41,5.0
1353,2017.0,500000.0,20000.0,3,1,1,0,254,10,261,41,5.0
1645,2019.0,1250000.0,15000.0,1,1,1,0,177,71,86,300,7.0
771,2013.0,320000.0,31377.0,3,1,1,2,202,10,267,37,5.0
1307,2018.0,700000.0,50000.0,1,1,1,0,384,13,245,178,5.0
1408,2015.0,290000.0,60000.0,3,1,1,0,258,119,221,424,5.0
1876,2012.0,550000.0,100000.0,3,1,0,0,89,49,73,150,5.0
364,2012.0,265000.0,60000.0,3,1,1,0,225,11,285,16,5.0
1113,2018.0,830000.0,5000.0,3,1,0,0,291,10,270,55,5.0
1794,2017.0,800000.0,60000.0,1,1,1,0,78,71,86,300,7.0
1106,2011.0,160000.0,25000.0,3,1,1,2,238,112,180,398,5.0
1559,2018.0,335000.0,30000.0,3,1,1,0,359,113,188,405,5.0
141,2017.0,329000.0,80000.0,3,1,1,2,263,11,220,10,5.0
1371,2017.0,775000.0,75000.0,1,1,1,0,350,13,289,193,5.0
696,2020.0,524000.0,32000.0,3,1,1,0,246,10,263,36,5.0
1081,2015.0,245000.0,40000.0,3,1,1,0,322,112,182,400,5.0
720,2012.0,275000.0,93000.0,3,1,1,2,159,10,257,19,5.0
1864,2018.0,520000.0,60000.0,3,1,1,0,176,7,291,105,5.0
1277,2008.0,130000.0,120000.0,3,1,1,2,393,121,322,441,5.41671936259011
1501,2014.0,550000.0,37000.0,3,1,1,0,157,36,310,89,5.0
198,2018.0,910000.0,15000.0,3,1,1,0,159,35,53,124,5.0
1487,2015.0,300000.0,80000.0,3,1,1,0,227,11,221,10,5.0
1400,2016.0,350000.0,140000.0,3,1,1,0,258,119,221,424,5.0
976,2013.0,900000.0,70000.0,1,1,1,0,46,95,103,315,7.0
908,2013.0,300000.0,120000.0,1,1,1,2,167,32,2,241,7.0
1244,2010.0,250000.0,110000.0,1,1,1,2,281,13,241,178,5.0
486,2017.0,1100000.0,37000.0,1,1,1,0,235,39,59,275,5.0
1559,2016.0,270000.0,44000.0,3,1,1,0,359,113,188,405,5.0
1198,2015.0,640000.0,80000.0,1,1,1,0,268,13,293,193,7.0
1026,2015.0,650000.0,125000.0,1,1,1,0,107,71,76,311,7.0
1179,2017.0,409999.0,13500.0,3,1,1,0,114,9,237,5,5.0
601,2011.0,165000.0,75000.0,3,1,1,0,186,2,206,431,5.0
467,2007.0,80000.0,120000.0,3,1,1,2,54,33,306,64,5.0
1032,2012.0,535000.0,120000.0,1,1,1,0,107,71,76,311,7.0
1929,2013.0,700000.0,70000.0,1,1,1,0,49,85,4,191,7.0
1307,2013.0,550000.0,70000.0,1,1,1,0,335,13,244,178,5.0
332,2019.0,680000.0,15000.0,3,1,0,0,212,12,293,31,5.0
711,2009.0,200000.0,53000.0,3,1,1,2,251,10,255,33,5.0
1307,2014.0,500000.0,120000.0,1,1,1,2,335,13,244,178,5.0
1197,2016.0,1000000.0,70000.0,1,1,1,0,353,13,289,193,7.0
535,2008.0,110000.0,120000.0,3,1,1,2,79,17,268,22,5.0
718,2012.0,320000.0,100000.0,3,1,1,2,202,10,257,19,5.0
1649,2005.0,75000.0,110000.0,1,1,1,2,393,121,322,441,5.41671936259011
1332,2015.0,350000.0,100000.0,3,1,1,0,254,10,271,41,5.0
1693,2013.0,170000.0,162500.0,1,1,1,0,225,26,232,94,5.0
733,2017.0,800000.0,39000.0,1,1,1,0,318,24,292,221,5.0
1226,2017.0,500000.0,75000.0,1,1,1,0,376,13,244,178,5.0
1648,2017.0,1380000.0,50000.0,1,1,0,0,177,71,93,348,7.0
900,2019.0,1300000.0,40000.0,1,1,1,0,169,35,50,294,8.0
629,2013.0,530000.0,92500.0,1,1,1,0,314,39,61,275,5.0
1307,2012.0,360000.0,158000.0,1,1,1,0,335,13,244,178,5.0
1300,2012.0,310000.0,120000.0,1,1,1,0,222,13,241,178,5.0
398,2015.0,725000.0,50000.0,1,1,1,2,369,36,313,193,5.0
1319,2012.0,340000.0,110000.0,1,1,1,0,222,13,241,178,5.0
679,2017.0,550000.0,2000.0,1,1,1,2,362,6,243,171,5.0
1915,2011.0,1150000.0,181000.0,1,1,1,2,20,102,117,318,7.0
1822,2016.0,380000.0,70000.0,1,1,1,0,378,0,230,106,5.0
1502,2013.0,350000.0,90000.0,3,1,0,2,187,36,321,89,5.0
523,2019.0,610000.0,2000.0,3,1,1,0,204,10,263,58,5.0
1310,2015.0,525000.0,20000.0,3,1,1,0,270,10,272,55,5.0
1945,2011.0,480000.0,120000.0,1,1,1,0,45,85,7,187,7.0
992,2017.0,780000.0,35000.0,1,1,1,0,148,88,21,248,6.0
1319,2012.0,320000.0,193000.0,1,1,1,0,222,13,241,178,5.0
1275,2014.0,375000.0,80000.0,3,1,1,0,254,10,261,41,5.0
131,2019.0,300000.0,40000.0,3,1,1,0,214,11,222,10,5.0
761,2015.0,500000.0,70000.0,1,1,1,1,318,24,292,221,5.0
940,2011.0,404000.0,122358.0,1,1,1,0,32,71,47,287,9.0
1810,2015.0,500000.0,75000.0,1,1,1,0,76,100,231,229,7.0
1838,2017.0,350000.0,120000.0,1,1,1,0,378,0,230,106,5.0
1864,2015.0,380000.0,40000.0,3,1,1,0,176,7,291,105,5.0
467,2008.0,114999.0,95200.0,3,1,1,4,54,33,306,64,5.0
363,2014.0,335000.0,33033.0,3,0,1,0,225,11,285,16,5.0
552,2015.0,465000.0,63063.0,3,0,0,0,210,10,264,50,5.0
1746,2012.0,290000.0,60000.0,1,1,1,0,277,13,293,192,5.0
1103,2005.0,110000.0,45000.0,3,1,1,2,238,112,180,398,5.0
1766,2011.0,450000.0,80000.0,1,1,1,4,21,71,73,302,7.0
855,2009.0,400000.0,170000.0,1,1,1,2,65,90,207,157,7.0
839,2007.0,210000.0,207890.0,1,1,1,2,65,90,207,157,7.0
1453,2018.0,4600000.0,7976.0,1,1,0,0,185,69,114,346,5.0
1236,2016.0,220000.0,35000.0,3,1,1,0,154,112,169,388,8.0
566,2017.0,450000.0,35000.0,3,1,1,0,210,10,264,50,5.0
566,2017.0,450000.0,35000.0,3,1,1,0,210,10,264,50,5.0
713,2013.0,290000.0,50000.0,3,1,0,0,157,10,255,33,5.0
1352,2016.0,520000.0,20000.0,3,1,1,0,254,10,261,41,5.0
713,2011.0,265000.0,20000.0,3,1,0,0,157,10,255,33,5.0
1347,2012.0,330000.0,50000.0,3,1,1,2,204,10,280,50,5.0
1347,2012.0,330000.0,50000.0,3,1,1,2,204,10,280,50,5.0
831,2014.0,509999.0,120000.0,1,1,1,0,129,90,206,182,7.0
639,2014.0,500000.0,70000.0,3,1,1,0,163,42,51,130,5.0
742,2015.0,525000.0,50000.0,3,1,1,0,165,10,263,46,5.0
1126,2019.0,675000.0,16500.0,3,1,1,0,276,10,261,41,5.0
715,2010.0,300000.0,70000.0,3,1,1,0,159,10,257,19,5.0
1105,2005.0,90000.0,99361.0,3,1,1,2,238,112,180,398,5.0
1307,2017.0,650000.0,25000.0,1,1,1,0,374,13,244,178,5.0
1310,2014.0,409000.0,70000.0,3,1,1,2,217,10,280,50,5.0
560,2015.0,395000.0,80000.0,1,1,1,2,346,3,232,137,5.0
1277,2010.0,215000.0,70000.0,3,1,1,2,393,121,322,441,5.41671936259011
1310,2014.0,400000.0,70000.0,3,1,1,2,217,10,280,50,5.0
63,2012.0,120000.0,60000.0,3,1,1,4,204,12,256,15,5.0
1847,2018.0,645000.0,10000.0,3,1,0,0,249,12,276,49,5.0
1068,2006.0,81000.0,80000.0,3,1,1,0,136,112,172,388,4.0
416,2017.0,1300000.0,30000.0,1,1,1,0,366,36,311,193,5.0
416,2017.0,1250000.0,33000.0,1,1,1,0,366,36,311,193,5.0
1199,2013.0,535000.0,90000.0,3,1,1,4,132,21,304,85,7.0
1516,2014.0,555000.0,80100.0,1,1,1,2,213,29,27,249,5.0
412,2014.0,725000.0,120000.0,3,1,1,0,171,35,42,115,5.0
1007,1983.0,300000.0,10000.0,1,1,1,4,393,121,322,441,5.41671936259011
1558,2016.0,229999.0,40000.0,3,1,1,0,359,113,188,405,5.0
1943,2013.0,800000.0,160000.0,1,1,1,2,49,85,5,188,8.0
1408,2017.0,409999.0,47000.0,3,1,1,0,258,119,221,424,5.0
477,2018.0,1210000.0,25000.0,1,1,1,0,289,24,291,221,5.0
1829,2017.0,400000.0,26000.0,3,1,1,0,342,12,276,49,5.0
542,2018.0,520000.0,29000.0,1,1,1,0,346,6,243,170,5.0
1129,2016.0,650000.0,50000.0,3,1,0,0,291,10,270,55,5.0
1363,2011.0,325000.0,58000.0,3,1,1,4,136,14,288,21,5.0
1315,2012.0,420000.0,120000.0,3,1,0,0,171,10,280,50,5.0
1331,2014.0,400000.0,50000.0,3,1,1,0,254,10,261,41,5.0
715,2010.0,254999.0,80000.0,3,1,1,1,159,10,257,19,5.0
1435,2003.0,65000.0,60000.0,3,1,1,1,169,117,202,411,5.0
1132,2017.0,351000.0,36000.0,3,1,1,0,331,119,221,424,5.0
1949,2007.0,404000.0,120000.0,1,1,1,4,45,85,7,187,8.0
1244,2011.0,185000.0,185000.0,1,1,1,4,281,13,241,178,5.0
1490,2011.0,250000.0,50000.0,1,1,1,0,330,29,208,139,5.0
1435,2002.0,60000.0,100000.0,3,1,1,1,169,117,202,411,5.0
639,2013.0,500000.0,50000.0,3,1,1,2,163,42,51,130,5.0
1426,2007.0,85000.0,80000.0,3,1,1,2,194,119,224,424,5.0
610,2005.0,85000.0,60000.0,3,1,1,2,393,121,322,441,5.41671936259011
1103,2005.0,85000.0,80000.0,3,1,1,1,238,112,180,398,5.0
1319,2011.0,265000.0,90000.0,1,1,1,1,222,13,241,178,5.0
1074,2010.0,130000.0,162000.0,3,1,1,2,212,119,218,424,5.0
1198,2013.0,480000.0,110000.0,1,1,1,4,268,13,293,193,7.0
1334,2008.0,170000.0,120000.0,1,1,1,4,183,13,248,178,5.0
1490,2011.0,275000.0,45000.0,1,1,1,0,330,29,208,139,5.0
1391,2005.0,89000.0,90000.0,3,1,1,2,210,119,224,424,5.0
290,2010.0,170000.0,90000.0,1,1,1,2,244,25,225,139,5.0
1010,2019.0,1090000.0,16500.0,3,0,1,0,159,10,30,195,5.0
481,2017.0,1100000.0,67000.0,1,1,0,0,160,39,59,275,5.0
1351,2018.0,610000.0,52000.0,3,0,1,0,307,10,261,41,5.0
143,2016.0,335000.0,40000.0,3,0,1,0,263,11,220,10,5.0
554,2015.0,434999.0,40000.0,3,0,1,0,210,10,264,50,5.0
1912,2018.0,3000000.0,35000.0,1,1,1,0,82,96,120,358,7.0
1558,2018.0,390000.0,13000.0,3,0,1,0,266,113,187,405,5.0
361,2012.0,325000.0,40000.0,3,0,1,0,202,11,285,16,5.0
1989,2019.0,640000.0,10000.0,3,0,1,0,159,11,239,27,5.0
1506,2012.0,450000.0,9000.0,3,0,1,0,157,36,310,89,5.0
1902,2013.0,400000.0,70000.0,1,0,1,2,338,19,223,144,5.0
708,2009.0,215000.0,60000.0,3,0,1,0,251,10,255,33,5.0
1529,2014.0,570000.0,40000.0,1,0,1,0,255,29,273,194,5.0
1032,2012.0,680000.0,93000.0,1,0,1,0,107,71,76,311,7.0
1948,2008.0,325000.0,80000.0,1,1,1,1,45,85,7,187,7.0
1710,2011.0,150000.0,50000.0,3,1,1,2,121,7,211,4,5.0
518,2013.0,690000.0,68000.0,3,0,0,0,88,52,82,156,5.0
1465,2013.0,1550000.0,25000.0,1,1,0,0,98,69,114,346,5.0
1758,2012.0,64000.0,18000.0,3,0,1,0,362,110,174,381,4.0
1488,2013.0,250000.0,120000.0,1,1,1,0,330,29,208,139,5.0
1391,2005.0,65000.0,35000.0,3,1,1,0,210,119,224,424,5.0
